Unnamed: 0,Filename,FloorName,pos_x,pos_y,pos_z,ang_x,ang_y,ang_z,free_perc,occ_perc
0,FP201_0,FloorPlan201,-4.0,0.9026570916175842,1.5,0,0,0,71.54083251953125,15.18402099609375
1,FP201_1,FloorPlan201,-4.0,0.9026570916175842,1.5,0,45,0,72.04437255859375,14.495849609375
2,FP201_2,FloorPlan201,-4.0,0.9026570916175842,1.5,0,90,0,68.25408935546875,15.89202880859375
3,FP201_3,FloorPlan201,-4.0,0.9026570916175842,1.5,0,135,0,76.74102783203125,13.3209228515625
4,FP201_4,FloorPlan201,-4.0,0.9026570916175842,1.5,0,180,0,84.30938720703125,9.6160888671875
5,FP201_5,FloorPlan201,-4.0,0.9026570916175842,1.5,0,225,0,90.0482177734375,5.74493408203125
6,FP201_6,FloorPlan201,-4.0,0.9026570916175842,1.5,0,270,0,89.691162109375,3.21044921875
7,FP201_7,FloorPlan201,-4.0,0.9026570916175842,1.5,0,315,0,82.73773193359375,10.90087890625
8,FP201_8,FloorPlan201,-4.0,0.9026570916175842,2.0,0,0,0,75.6988525390625,13.50555419921875
9,FP201_9,FloorPlan201,-4.0,0.9026570916175842,2.0,0,45,0,70.9381103515625,14.01824951171875
10,FP201_10,FloorPlan201,-4.0,0.9026570916175842,2.0,0,90,0,70.14007568359375,16.668701171875
11,FP201_11,FloorPlan201,-4.0,0.9026570916175842,2.0,0,135,0,66.650390625,16.06597900390625
12,FP201_12,FloorPlan201,-4.0,0.9026570916175842,2.0,0,180,0,79.1229248046875,13.52691650390625
13,FP201_13,FloorPlan201,-4.0,0.9026570916175842,2.0,0,225,0,85.71319580078125,7.5286865234375
14,FP201_14,FloorPlan201,-4.0,0.9026570916175842,2.0,0,270,0,88.60321044921875,3.21044921875
15,FP201_15,FloorPlan201,-4.0,0.9026570916175842,2.0,0,315,0,83.62579345703125,11.053466796875
16,FP201_16,FloorPlan201,-4.5,0.9026570916175842,1.5,0,0,0,72.515869140625,14.44854736328125
17,FP201_17,FloorPlan201,-4.5,0.9026570916175842,1.5,0,45,0,63.83819580078125,20.0714111328125
18,FP201_18,FloorPlan201,-4.5,0.9026570916175842,1.5,0,90,0,61.43646240234375,21.19293212890625
19,FP201_19,FloorPlan201,-4.5,0.9026570916175842,1.5,0,135,0,72.50823974609375,16.40777587890625
20,FP201_20,FloorPlan201,-4.5,0.9026570916175842,1.5,0,180,0,85.2447509765625,7.78045654296875
21,FP201_21,FloorPlan201,-4.5,0.9026570916175842,1.5,0,225,0,94.2138671875,2.23236083984375
22,FP201_22,FloorPlan201,-4.5,0.9026570916175842,1.5,0,270,0,98.175048828125,0.079345703125
23,FP201_23,FloorPlan201,-4.5,0.9026570916175842,1.5,0,315,0,87.58087158203125,5.45654296875
24,FP201_24,FloorPlan201,-4.0,0.9026570916175842,1.0,0,0,0,70.5657958984375,17.14630126953125
25,FP201_25,FloorPlan201,-4.0,0.9026570916175842,1.0,0,45,0,65.4144287109375,15.56854248046875
26,FP201_26,FloorPlan201,-4.0,0.9026570916175842,1.0,0,90,0,69.1864013671875,16.4764404296875
27,FP201_27,FloorPlan201,-4.0,0.9026570916175842,1.0,0,135,0,80.0567626953125,12.39776611328125
28,FP201_28,FloorPlan201,-4.0,0.9026570916175842,1.0,0,180,0,88.51470947265625,5.16357421875
29,FP201_29,FloorPlan201,-4.0,0.9026570916175842,1.0,0,225,0,94.03533935546876,3.70941162109375
30,FP201_30,FloorPlan201,-4.0,0.9026570916175842,1.0,0,270,0,91.0308837890625,2.91595458984375
31,FP201_31,FloorPlan201,-4.0,0.9026570916175842,1.0,0,315,0,81.1798095703125,10.67962646484375
32,FP201_32,FloorPlan201,-3.5,0.9026570916175842,2.0,0,0,0,77.4078369140625,10.272216796875
33,FP201_33,FloorPlan201,-3.5,0.9026570916175842,2.0,0,45,0,78.15093994140625,10.3729248046875
34,FP201_34,FloorPlan201,-3.5,0.9026570916175842,2.0,0,90,0,79.69207763671875,13.96636962890625
35,FP201_35,FloorPlan201,-3.5,0.9026570916175842,2.0,0,135,0,71.3470458984375,10.638427734375
36,FP201_36,FloorPlan201,-3.5,0.9026570916175842,2.0,0,180,0,80.0750732421875,11.126708984375
37,FP201_37,FloorPlan201,-3.5,0.9026570916175842,2.0,0,225,0,83.65631103515625,11.2335205078125
38,FP201_38,FloorPlan201,-3.5,0.9026570916175842,2.0,0,270,0,79.6661376953125,8.13446044921875
39,FP201_39,FloorPlan201,-3.5,0.9026570916175842,2.0,0,315,0,82.623291015625,12.896728515625
40,FP201_40,FloorPlan201,-4.0,0.9026570916175842,2.5,0,0,0,81.53533935546875,12.47711181640625
41,FP201_41,FloorPlan201,-4.0,0.9026570916175842,2.5,0,45,0,73.18572998046875,9.66339111328125
42,FP201_42,FloorPlan201,-4.0,0.9026570916175842,2.5,0,90,0,71.6766357421875,15.3411865234375
43,FP201_43,FloorPlan201,-4.0,0.9026570916175842,2.5,0,135,0,61.74774169921875,20.14923095703125
44,FP201_44,FloorPlan201,-4.0,0.9026570916175842,2.5,0,180,0,73.65875244140625,15.29693603515625
45,FP201_45,FloorPlan201,-4.0,0.9026570916175842,2.5,0,225,0,83.038330078125,8.80126953125
46,FP201_46,FloorPlan201,-4.0,0.9026570916175842,2.5,0,270,0,87.98980712890625,3.20892333984375
47,FP201_47,FloorPlan201,-4.0,0.9026570916175842,2.5,0,315,0,84.0545654296875,10.699462890625
48,FP201_48,FloorPlan201,-4.5,0.9026570916175842,2.0,0,0,0,75.66680908203125,14.27764892578125
49,FP201_49,FloorPlan201,-4.5,0.9026570916175842,2.0,0,45,0,65.05889892578125,19.28863525390625
50,FP201_50,FloorPlan201,-4.5,0.9026570916175842,2.0,0,90,0,61.199951171875,19.8211669921875
51,FP201_51,FloorPlan201,-4.5,0.9026570916175842,2.0,0,135,0,66.1834716796875,18.86138916015625
52,FP201_52,FloorPlan201,-4.5,0.9026570916175842,2.0,0,180,0,80.999755859375,11.2548828125
53,FP201_53,FloorPlan201,-4.5,0.9026570916175842,2.0,0,225,0,90.80963134765624,3.2379150390625
54,FP201_54,FloorPlan201,-4.5,0.9026570916175842,2.0,0,270,0,97.71881103515624,0.079345703125
55,FP201_55,FloorPlan201,-4.5,0.9026570916175842,2.0,0,315,0,87.2528076171875,5.56182861328125
56,FP201_56,FloorPlan201,-4.5,0.9026570916175842,1.0,0,0,0,70.91827392578125,15.277099609375
57,FP201_57,FloorPlan201,-4.5,0.9026570916175842,1.0,0,45,0,61.66839599609375,20.4315185546875
58,FP201_58,FloorPlan201,-4.5,0.9026570916175842,1.0,0,90,0,63.134765625,20.64361572265625
59,FP201_59,FloorPlan201,-4.5,0.9026570916175842,1.0,0,135,0,77.94342041015625,13.1317138671875
60,FP201_60,FloorPlan201,-4.5,0.9026570916175842,1.0,0,180,0,90.4052734375,3.91082763671875
61,FP201_61,FloorPlan201,-4.5,0.9026570916175842,1.0,0,225,0,97.23968505859376,1.18408203125
62,FP201_62,FloorPlan201,-4.5,0.9026570916175842,1.0,0,270,0,98.36883544921876,0.079345703125
63,FP201_63,FloorPlan201,-4.5,0.9026570916175842,1.0,0,315,0,87.0819091796875,5.43212890625
64,FP201_64,FloorPlan201,-3.5,0.9026570916175842,1.0,0,0,0,66.864013671875,14.49737548828125
65,FP201_65,FloorPlan201,-3.5,0.9026570916175842,1.0,0,45,0,67.63153076171875,9.429931640625
66,FP201_66,FloorPlan201,-3.5,0.9026570916175842,1.0,0,90,0,79.5867919921875,12.0361328125
67,FP201_67,FloorPlan201,-3.5,0.9026570916175842,1.0,0,135,0,82.9071044921875,10.65521240234375
68,FP201_68,FloorPlan201,-3.5,0.9026570916175842,1.0,0,180,0,86.71417236328125,5.48858642578125
69,FP201_69,FloorPlan201,-3.5,0.9026570916175842,1.0,0,225,0,89.83612060546875,6.25762939453125
70,FP201_70,FloorPlan201,-3.5,0.9026570916175842,1.0,0,270,0,83.97216796875,7.4188232421875
71,FP201_71,FloorPlan201,-3.5,0.9026570916175842,1.0,0,315,0,78.2073974609375,14.7003173828125
72,FP201_72,FloorPlan201,-4.0,0.9026570916175842,0.5,0,0,0,67.76275634765625,17.50335693359375
73,FP201_73,FloorPlan201,-4.0,0.9026570916175842,0.5,0,45,0,60.92987060546875,19.51751708984375
74,FP201_74,FloorPlan201,-4.0,0.9026570916175842,0.5,0,90,0,70.39642333984375,16.58172607421875
75,FP201_75,FloorPlan201,-4.0,0.9026570916175842,0.5,0,135,0,84.98687744140625,7.95135498046875
